src_ip,dst_ip,bytes,duration,timestamp,protocol,label
192.168.1.39,10.0.0.45,85535,25.80842214472073,2025-10-01 00:00:00,UDP,0
192.168.1.29,10.0.0.145,19887,85.87910971142591,2025-10-01 00:01:00,ICMP,0
192.168.1.15,10.0.0.104,21082,96.00852841008505,2025-10-01 00:02:00,UDP,0
192.168.1.43,10.0.0.85,22706,41.53940782147958,2025-10-01 00:03:00,TCP,0
192.168.1.8,10.0.0.194,141322,20.721367457143923,2025-10-01 00:04:00,UDP,0
192.168.1.21,10.0.0.134,112323,0.3258323479947857,2025-10-01 00:05:00,UDP,0
192.168.1.39,10.0.0.108,47036,54.11392933464685,2025-10-01 00:06:00,TCP,0
192.168.1.19,10.0.0.18,93386,42.2984034573456,2025-10-01 00:07:00,TCP,0
192.168.1.23,10.0.0.94,139765,66.59363096071083,2025-10-01 00:08:00,TCP,0
192.168.1.11,10.0.0.150,148530,22.573050699728405,2025-10-01 00:09:00,TCP,0
192.168.1.11,10.0.0.33,37481,103.16126906450036,2025-10-01 00:10:00,UDP,0
192.168.1.24,10.0.0.158,121565,30.93804832321688,2025-10-01 00:11:00,TCP,0
192.168.1.36,10.0.0.126,28174,27.179288314467122,2025-10-01 00:12:00,ICMP,0
192.168.1.40,10.0.0.160,151767,57.69087963755786,2025-10-01 00:13:00,UDP,0
192.168.1.24,10.0.0.170,44294,59.86713433907546,2025-10-01 00:14:00,ICMP,0
192.168.1.3,10.0.0.122,180549,25.81807660192329,2025-10-01 00:15:00,UDP,0
192.168.1.22,10.0.0.138,26953,32.63056859984263,2025-10-01 00:16:00,UDP,0
192.168.1.2,10.0.0.115,73819,20.37293164623784,2025-10-01 00:17:00,ICMP,0
192.168.1.24,10.0.0.164,151833,86.21803679699678,2025-10-01 00:18:00,TCP,0
192.168.1.44,10.0.0.162,181665,92.4129828601773,2025-10-01 00:19:00,TCP,1
192.168.1.30,10.0.0.28,118824,55.48479641013932,2025-10-01 00:20:00,ICMP,0
192.168.1.38,10.0.0.11,167667,85.69330185197525,2025-10-01 00:21:00,TCP,0
192.168.1.2,10.0.0.167,13803,88.31488767857408,2025-10-01 00:22:00,UDP,0
192.168.1.21,10.0.0.47,184252,16.601680566060253,2025-10-01 00:23:00,UDP,0
192.168.1.33,10.0.0.127,161987,115.94170119989606,2025-10-01 00:24:00,UDP,0
192.168.1.12,10.0.0.147,160737,98.52562333210076,2025-10-01 00:25:00,TCP,0
192.168.1.22,10.0.0.118,194493,24.545970508886864,2025-10-01 00:26:00,TCP,0
192.168.1.44,10.0.0.143,117591,22.34794263917097,2025-10-01 00:27:00,ICMP,0
192.168.1.25,10.0.0.126,58553,15.088080858094132,2025-10-01 00:28:00,UDP,0
192.168.1.49,10.0.0.156,88578,16.614043719404787,2025-10-01 00:29:00,ICMP,0
192.168.1.27,10.0.0.152,33261,89.78193426545326,2025-10-01 00:30:00,TCP,0
192.168.1.42,10.0.0.72,187163,56.3638142916253,2025-10-01 00:31:00,ICMP,0
192.168.1.28,10.0.0.107,114396,93.95427138705666,2025-10-01 00:32:00,TCP,0
192.168.1.16,10.0.0.137,140888,89.55312477308115,2025-10-01 00:33:00,UDP,0
192.168.1.15,10.0.0.175,33449,72.55747949349154,2025-10-01 00:34:00,UDP,0
192.168.1.47,10.0.0.33,47198,82.36712912337576,2025-10-01 00:35:00,TCP,0
192.168.1.44,10.0.0.190,108535,2.2125033682532234,2025-10-01 00:36:00,TCP,0
192.168.1.3,10.0.0.19,131304,37.42019984013458,2025-10-01 00:37:00,TCP,0
192.168.1.37,10.0.0.195,52090,76.54228328933664,2025-10-01 00:38:00,UDP,0
192.168.1.7,10.0.0.74,69021,1.1313009688144415,2025-10-01 00:39:00,TCP,0
192.168.1.21,10.0.0.168,167710,3.9669034724743826,2025-10-01 00:40:00,UDP,1
192.168.1.9,10.0.0.175,100672,102.22803901662128,2025-10-01 00:41:00,ICMP,0
192.168.1.39,10.0.0.193,7313,82.0861431544317,2025-10-01 00:42:00,UDP,0
192.168.1.18,10.0.0.157,124793,31.85171427711007,2025-10-01 00:43:00,ICMP,1
192.168.1.4,10.0.0.178,175395,82.55866118584389,2025-10-01 00:44:00,UDP,1
192.168.1.25,10.0.0.98,91755,95.0968757300202,2025-10-01 00:45:00,UDP,0
192.168.1.14,10.0.0.141,68471,36.822246030381045,2025-10-01 00:46:00,TCP,0
192.168.1.50,10.0.0.129,68374,4.334124926127502,2025-10-01 00:47:00,UDP,0
192.168.1.9,10.0.0.162,107953,111.93416717128126,2025-10-01 00:48:00,TCP,0
192.168.1.26,10.0.0.93,4234,41.4281287970927,2025-10-01 00:49:00,TCP,0
192.168.1.2,10.0.0.176,91528,12.786746776531917,2025-10-01 00:50:00,TCP,0
192.168.1.20,10.0.0.48,39701,59.02790599846375,2025-10-01 00:51:00,UDP,0
192.168.1.28,10.0.0.177,73989,92.21845080173942,2025-10-01 00:52:00,TCP,0
192.168.1.47,10.0.0.64,15790,26.605461280960924,2025-10-01 00:53:00,ICMP,0
192.168.1.7,10.0.0.61,2009,32.34611111550227,2025-10-01 00:54:00,ICMP,0
192.168.1.44,10.0.0.157,91339,29.133371265961994,2025-10-01 00:55:00,UDP,0
192.168.1.8,10.0.0.39,80132,119.00084960927306,2025-10-01 00:56:00,TCP,0
192.168.1.47,10.0.0.128,12162,23.6964740103278,2025-10-01 00:57:00,ICMP,0
192.168.1.35,10.0.0.88,75486,69.06667083376522,2025-10-01 00:58:00,UDP,0
192.168.1.14,10.0.0.26,165903,111.03250435241915,2025-10-01 00:59:00,UDP,0
192.168.1.17,10.0.0.17,136325,17.636119299644733,2025-10-01 01:00:00,UDP,0
192.168.1.36,10.0.0.71,141653,116.50279520214535,2025-10-01 01:01:00,UDP,0
192.168.1.50,10.0.0.13,99370,113.697793355131,2025-10-01 01:02:00,UDP,0
192.168.1.40,10.0.0.69,66525,106.14979272712092,2025-10-01 01:03:00,TCP,0
192.168.1.4,10.0.0.26,194772,25.75463699438697,2025-10-01 01:04:00,TCP,0
192.168.1.2,10.0.0.49,85081,76.09026617075789,2025-10-01 01:05:00,TCP,0
192.168.1.6,10.0.0.195,104570,91.3093678406192,2025-10-01 01:06:00,TCP,0
192.168.1.42,10.0.0.7,159377,118.3234911042896,2025-10-01 01:07:00,UDP,0
192.168.1.4,10.0.0.58,88987,21.659054411543636,2025-10-01 01:08:00,UDP,0
192.168.1.29,10.0.0.49,81642,91.92544768332039,2025-10-01 01:09:00,ICMP,0
